name,age,country,gender,boat,club,,,http://ckc.immediac.com/athletes
Megan McNeil,2001,CND,F,,,,,
Melissa Black,1994,CND,F,,,,,
Michael Trauner,1979,CND,M,,,,,
Michaela Ermanovics,2000,CND,F,,,,,
Michelle Russell,1992,CND,F,,,,,
Miranda Rogers,2001,CND,F,,,,,
Morgan Toole,1999,CND,M,,,,,
Nadya Crossman-serb,1996,CND,F,,,,,
Natalie Davison,1992,CND,F,,,,,
Nicholas Billard,2000,CND,M,,,,,
Nicholas Lamontagne,2001,CND,M,,,,,
Nicholas Matveev,1997,CND,M,K,Balmy Beach,,,
Nick Baert,1995,CND,M,,,,,
Nicolas Thirion,1998,CND,M,,,,,
Nikolas Favreau-Regimballe,1998,CND,M,,,,,
Nikole Gorelova,2000,CND,F,,,,,
Nora Featherstone,2000,CND,F,,,,,
Océane Marchand,2002,CND,,,,,,
Olivia Denman,1996,CND,F,,,,,
Olivia Fogarty,2001,CND,F,,,,,
Olivia Pucci,2001,CND,F,,,,,
Olivier Courchesne,1998,CND,,,,,,
Oskar Morawski,1999,CND,M,K,Balmy Beach,,,
Palmer Lumb,1999,CND,M,K,Balmy Beach,,,
Paul Lapierre,1998,CND,M,,,,,
Peter Gogolev,2001,CND,M,K,Balmy Beach,,,
Philipe Turcanu,2000,CND,M,,,,,
Philippe Thérien,2000,CND,M,,,,,
Pierre-Luc Poulin,1995,CND,M,,,,,
Quinn Thomson,2003,CND,M,,,,,
Raine Giff,2002,CND,,,,,,
Raphaël Nadeau,1999,CND,,,,,,
Rebecca Sampson,2002,CND,F,,,,,
Rémi Bergeron,2002,CND,,,,,,
Riley Gray,2002,CND,,,,,,
Riley Melanson,1999,CND,,,,,,
Robin Kendall,1997,CND,,,,,,
Roland Varga,1990,CND,,,,,,
Rosalie Belleville,2002,CND,F,,,,,
Rosalie Tremblay,2002,CND,F,,,,,
Rowan Gray,2003,CND,M,,,,,
