2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:00,,,,,,,,,,
"Race #126, Event #201: Senior Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:16,,,,,,,,,,
"Race #130, Event #203: Juvenile Men 200m K1 Heat 2",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Errez, Nathaniel",SCKC,00:40.8,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Szalay, Balazs",SDCKT,00:42.9,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Field, Kyle",Gig Harbor,00:42.9,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Chiou, Payton",Gig Harbor,00:43.6,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Moore, Anthony",OKC,00:44.3,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Baker, Myles",OKC,00:44.6,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Miller, Michael",SDCKT,00:47.8,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Kaluhiwa, Preston",Ikaika,00:51.1,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:20,,,,,,,,,,
"Race #131, Event #203: Juvenile Men 200m K1 Heat 3",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Farley-Klacik, Owen",LCKC,00:42.0,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Burchardt, Joshua",LCKC,00:44.5,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Yee, Nat",Ikaika,00:44.5,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Denny, Alec",SCKC,00:46.1,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Miller, Ryan",SDCKT,00:48.2,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Norton, Chris",Rice Creek,00:49.5,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Markowski, Jeremy",Ikaika,00:52.7,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Carrillo, Christian",SDCKT,00:55.1,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:24,,,,,,,,,,
"Race #132, Event #203: Juvenile Men 200m K1 Heat 4",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Berghash, Aaron",Keystone,00:43.1,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Hicks, Daniel",LCKC,00:44.1,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Jung, Ethan",Ikaika,00:44.4,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Barker, Justin",Gig Harbor,00:46.3,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Denny, Aidan",SCKC,00:48.5,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Ozaki, Owen",LCKC,00:49.1,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Cullinan, Zoran",Ikaika,00:51.6,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Sexton, Brayden",OKC,00:51.6,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:28,,,,,,,,,,
"Race #133, Event #203: Juvenile Men 200m K1 Heat 5",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Hopper, Noa",SDCKT,00:42.4,1,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Kimsey, Dillon",LCKC,00:48.0,2,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Gervasoni, Donovan",SFCKC,00:48.2,3,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Roberts, Max",LCKC,00:51.0,4,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Ferreira, Alexandre",WCC,00:52.7,5,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Wilson, Alec",LCKC,00:54.6,6,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"McFarlane, Jacob",HCKT,,DNF,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:12,,,,,,,,,,
"Race #182, Event #203: Juvenile Men 200m K1 Final",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Cross-Whiter, Miles",SCKC,00:39.8,1,9,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Errez, Nathaniel",SCKC,00:41.4,2,7,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Farley-Klacik, Owen",LCKC,00:41.4,3,5,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Baker, Clay",LCKC,00:42.1,4,3,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9,"Hilt, Henry",SCKC,00:42.6,5,2,,,,,,
,,,,,,,,,,,
